sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
Error: ,1000,0,0,0,0.0,1.0,0.0,0.0,1139.0
/,1000,498,64,3552,831.9061148086364,0.0,3.592857399489814,4.719133986634571,1345.0
/test/start,2000,313,65,4460,437.7895904081663,0.0,7.026789635485288,15.213541666666666,2217.039
/test/submitInitials,1000,2404,157,14093,1721.6908515944435,0.0,3.607048172128339,447.760079445236,127114.0
/test/interestsMap,1000,529,84,11297,897.1723769153841,0.0,3.60382437843039,33.27563788817693,9455.026
/test/sumbitInterestMap,1000,8227,219,16573,2746.131104823476,0.0,3.604395921265575,75.41776075101193,21426.0
/test/actuality,1000,389,69,12584,900.1777788859265,0.0,3.683756842578335,7.374802055628412,2050.026
/test/submitActuality,1000,5496,150,15263,2891.263898438881,0.0,3.678891623531662,78.7225324754158,21912.0
/test/yovayshy,1000,276,71,3398,376.545376686529,0.0,3.855436551080679,15.169486195609428,4029.0
/test/submitYovayshy,1000,2983,161,10718,1688.4062467356603,0.0,3.8447490340068056,4.745862088852149,1264.0
/test/result,1000,244,66,2051,307.76706471615836,0.0,3.87813353189377,5.495284916775255,1451.0
TOTAL,12000,1806,0,16573,2873.383592145403,0.08333333333333333,424.49326116947896,6757.73131842743,16301.594166666666
